epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2809,1.689,3.4971,1.55067,0.00333,1,0.4276,0.30312,1.34429,3.4084,1.55169,0.0004,0.0004,0.0004
2,17.3894,1.53978,2.21384,1.42387,0.00333,1,0.07723,0.03209,1.65597,3.60001,3.02125,0.000811882,0.000811882,0.000811882
3,20.4893,1.52581,2.19131,1.39707,0.14966,0.11765,0.06515,0.03034,2.18993,4.18715,3.74957,0.00121545,0.00121545,0.00121545
4,23.5486,1.56217,2.01013,1.46173,0.18027,0.08824,0.05978,0.0297,2.54231,4.15844,2.4302,0.0016107,0.0016107,0.0016107
5,26.5854,1.5103,1.82114,1.37215,0.52232,0.23529,0.24696,0.1353,2.74363,3.70591,3.83421,0.0019208,0.0019208,0.0019208
6,29.634,1.48993,1.61516,1.41975,0.43017,0.44118,0.43673,0.25748,1.63452,2.95042,2.11582,0.001901,0.001901,0.001901
7,32.6709,1.63097,1.67753,1.48726,0.0993,0.58824,0.0848,0.04031,1.91129,8.95189,2.54568,0.0018812,0.0018812,0.0018812
8,35.727,1.52099,1.40127,1.46397,0.80732,0.61765,0.72206,0.47332,2.07424,2.95167,2.56887,0.0018614,0.0018614,0.0018614
9,38.7694,1.54429,1.3964,1.46117,0.49554,0.73529,0.55094,0.31346,2.13925,4.09124,2.71115,0.0018416,0.0018416,0.0018416
10,41.7987,1.3981,1.29708,1.35363,0.8004,0.58977,0.74011,0.51349,1.41313,3.21257,1.82146,0.0018218,0.0018218,0.0018218
11,44.8354,1.48939,1.24163,1.40537,0.69806,0.58824,0.73462,0.5088,1.45856,2.88171,2.04763,0.001802,0.001802,0.001802
12,48.1556,1.40151,1.16851,1.39434,0.93977,0.91789,0.98713,0.70163,1.37243,1.75527,1.58553,0.0017822,0.0017822,0.0017822
13,51.1928,1.41229,1.10697,1.36868,0.73508,0.76471,0.79538,0.47435,1.28507,2.38565,1.79521,0.0017624,0.0017624,0.0017624
14,54.2225,1.343,1.03812,1.31723,1,0.76143,0.92515,0.61854,1.44153,1.18809,1.96154,0.0017426,0.0017426,0.0017426
15,57.2593,1.40604,1.07574,1.34612,0.39829,0.91176,0.42771,0.25449,1.60539,7.50411,1.73688,0.0017228,0.0017228,0.0017228
16,60.3113,1.35625,1.06812,1.34478,0.64608,0.82353,0.77392,0.52507,1.37857,2.21719,1.5829,0.001703,0.001703,0.001703
17,63.3541,1.31174,0.96625,1.30543,0.69518,0.73529,0.81744,0.48047,1.77906,3.3248,2.1196,0.0016832,0.0016832,0.0016832
18,66.3877,1.29788,0.9679,1.29887,1,0.93153,0.98974,0.65525,1.41895,1.19322,1.70853,0.0016634,0.0016634,0.0016634
19,69.4168,1.33619,0.96356,1.33743,0.99136,0.94118,0.97948,0.6836,1.41131,1.12999,1.7668,0.0016436,0.0016436,0.0016436
20,72.4691,1.272,0.91532,1.26724,0.95948,1,0.99443,0.6863,1.45108,1.16559,1.65025,0.0016238,0.0016238,0.0016238
21,75.4976,1.31365,0.91834,1.27363,0.80734,1,0.96015,0.67329,1.44518,1.2044,1.79803,0.001604,0.001604,0.001604
22,78.5305,1.23622,0.84816,1.24995,0.91662,0.94118,0.98731,0.76168,0.94833,0.98078,1.29979,0.0015842,0.0015842,0.0015842
23,81.5799,1.31346,0.87611,1.27614,0.96639,1,0.99357,0.68985,1.22623,1.09942,1.50363,0.0015644,0.0015644,0.0015644
24,84.6334,1.26809,0.89049,1.2842,0.89205,0.97218,0.98754,0.6998,1.2073,1.44616,1.39091,0.0015446,0.0015446,0.0015446
25,87.6712,1.28103,0.88703,1.26436,0.89243,1,0.98556,0.64299,1.40618,1.08734,1.63799,0.0015248,0.0015248,0.0015248
26,90.7135,1.23633,0.86115,1.22728,0.94845,0.97059,0.99212,0.73916,1.17746,0.8475,1.49605,0.001505,0.001505,0.001505
27,93.7599,1.26871,0.81133,1.27007,0.89307,0.88235,0.96015,0.66984,1.29494,1.07041,1.56535,0.0014852,0.0014852,0.0014852
28,96.825,1.20788,0.82262,1.25759,0.76906,0.97961,0.95563,0.62562,1.22977,1.09751,1.47811,0.0014654,0.0014654,0.0014654
29,99.8706,1.27533,0.88357,1.25383,0.88251,0.94118,0.97054,0.71491,1.09845,0.89589,1.44507,0.0014456,0.0014456,0.0014456
30,102.921,1.18729,0.79008,1.21484,0.87848,0.91176,0.95979,0.71438,1.34779,1.27273,1.69784,0.0014258,0.0014258,0.0014258
31,105.97,1.25251,0.84586,1.26787,0.9262,0.91176,0.98115,0.73256,1.24253,0.9089,1.5475,0.001406,0.001406,0.001406
32,109.044,1.1795,0.77743,1.22129,0.93681,0.91176,0.96598,0.65576,1.3408,1.01532,1.65443,0.0013862,0.0013862,0.0013862
33,112.088,1.23871,0.76067,1.19526,1,0.96219,0.98833,0.71779,1.03717,0.97147,1.3627,0.0013664,0.0013664,0.0013664
34,115.147,1.23464,0.81772,1.24942,0.9659,1,0.99357,0.72704,1.15304,0.91695,1.42311,0.0013466,0.0013466,0.0013466
35,118.192,1.21805,0.77837,1.23562,0.99802,1,0.995,0.73463,1.16546,0.77389,1.42081,0.0013268,0.0013268,0.0013268
36,121.264,1.14926,0.79733,1.20725,1,0.93303,0.97532,0.71689,1.14772,0.92877,1.32396,0.001307,0.001307,0.001307
37,124.31,1.2251,0.79448,1.22153,0.9398,0.91845,0.97121,0.72836,1.0516,0.78465,1.33224,0.0012872,0.0012872,0.0012872
38,127.359,1.19685,0.74311,1.23349,0.93691,1,0.98022,0.68353,1.36193,0.91156,1.55383,0.0012674,0.0012674,0.0012674
39,130.409,1.21221,0.76961,1.23115,0.91793,0.98712,0.98151,0.69425,1.34443,0.98382,1.71577,0.0012476,0.0012476,0.0012476
40,133.485,1.10234,0.71785,1.15078,0.96353,0.97059,0.98237,0.72249,1.25059,0.85242,1.56551,0.0012278,0.0012278,0.0012278
41,136.541,1.13004,0.74518,1.19681,0.89324,0.98452,0.9859,0.70943,1.12474,0.87242,1.29817,0.001208,0.001208,0.001208
42,139.59,1.15852,0.72334,1.18487,0.99737,0.94118,0.98509,0.7434,1.17241,0.89802,1.44527,0.0011882,0.0011882,0.0011882
43,142.652,1.19714,0.73535,1.24508,0.99394,0.94118,0.97959,0.7393,1.14174,0.81195,1.57627,0.0011684,0.0011684,0.0011684
44,145.729,1.1635,0.72903,1.17082,0.96294,1,0.99443,0.73112,1.26694,0.79386,1.72802,0.0011486,0.0011486,0.0011486
45,148.788,1.1397,0.68358,1.19879,0.96496,0.97059,0.99212,0.7741,0.99809,0.63811,1.37182,0.0011288,0.0011288,0.0011288
46,151.85,1.1174,0.68336,1.18396,0.97032,0.96166,0.98428,0.74469,0.97695,0.75214,1.39139,0.001109,0.001109,0.001109
47,154.903,1.11347,0.70462,1.15213,0.99404,1,0.995,0.74905,0.95113,0.68452,1.25366,0.0010892,0.0010892,0.0010892
48,157.982,1.04311,0.65322,1.12619,0.98948,1,0.995,0.73579,1.04644,0.70109,1.35262,0.0010694,0.0010694,0.0010694
49,161.033,1.07735,0.64138,1.14639,0.99424,1,0.995,0.74961,1.156,0.62821,1.41787,0.0010496,0.0010496,0.0010496
50,164.386,1.09173,0.64215,1.16031,0.99794,1,0.995,0.72351,1.1294,0.90965,1.36742,0.0010298,0.0010298,0.0010298
51,167.431,1.08554,0.68474,1.16033,0.99426,0.97059,0.99289,0.73199,1.0652,0.87205,1.27252,0.00101,0.00101,0.00101
52,170.503,1.0913,0.65468,1.13932,0.96707,1,0.99186,0.74372,0.96553,0.67527,1.24237,0.0009902,0.0009902,0.0009902
53,173.564,1.13251,0.69427,1.15081,0.98905,0.91176,0.97489,0.67206,1.76487,1.08124,1.71793,0.0009704,0.0009704,0.0009704
54,176.616,1.08062,0.64157,1.1433,1,0.93091,0.99166,0.72817,1.05309,0.77335,1.27717,0.0009506,0.0009506,0.0009506
55,179.671,1.08346,0.66653,1.14191,0.99081,0.94118,0.98697,0.75,1.04199,0.82959,1.26645,0.0009308,0.0009308,0.0009308
56,182.752,1.12862,0.67731,1.14235,0.98313,0.94118,0.99155,0.74048,0.89968,0.6169,1.19726,0.000911,0.000911,0.000911
57,185.809,1.04646,0.62366,1.12436,1,0.9791,0.995,0.75307,0.98796,0.57515,1.34618,0.0008912,0.0008912,0.0008912
58,188.862,1.01453,0.57489,1.1281,0.96781,1,0.98843,0.74169,0.978,0.61979,1.30247,0.0008714,0.0008714,0.0008714
59,191.923,1.06669,0.63286,1.13458,0.96364,1,0.99271,0.74575,0.98589,0.61368,1.28214,0.0008516,0.0008516,0.0008516
60,195.058,1.07621,0.63838,1.16275,0.99648,1,0.995,0.74567,1.05871,0.76006,1.35719,0.0008318,0.0008318,0.0008318
61,198.181,0.98449,0.61466,1.12965,0.97118,0.99115,0.99014,0.72526,0.95962,0.67962,1.27315,0.000812,0.000812,0.000812
62,201.252,1.05753,0.60581,1.12134,1,0.96436,0.99443,0.72891,1.10423,0.60271,1.34575,0.0007922,0.0007922,0.0007922
63,204.313,1.00776,0.57906,1.11456,0.9932,0.97059,0.99389,0.71331,1.15712,0.59215,1.36353,0.0007724,0.0007724,0.0007724
64,207.411,0.99518,0.59624,1.10808,0.97033,0.96216,0.98583,0.75696,0.99884,0.68374,1.27212,0.0007526,0.0007526,0.0007526
65,210.516,1.00145,0.62699,1.10451,0.99524,0.97059,0.99289,0.77361,1.02771,0.5937,1.27046,0.0007328,0.0007328,0.0007328
66,213.593,1.04984,0.61792,1.15243,0.9707,1,0.99443,0.75061,1.07116,0.65965,1.32808,0.000713,0.000713,0.000713
67,216.666,0.97332,0.58758,1.12224,0.98447,0.97059,0.98714,0.77247,0.9876,0.6742,1.27258,0.0006932,0.0006932,0.0006932
68,219.751,1.03612,0.60038,1.11364,0.97125,0.99361,0.99443,0.77236,1.03878,0.66635,1.31891,0.0006734,0.0006734,0.0006734
69,222.815,1.01045,0.6148,1.1179,1,0.994,0.995,0.77668,0.99025,0.57347,1.30067,0.0006536,0.0006536,0.0006536
70,225.898,1.04017,0.59963,1.14934,0.98931,1,0.995,0.7599,1.00338,0.5648,1.23948,0.0006338,0.0006338,0.0006338
71,228.959,1.01719,0.6006,1.114,0.99194,1,0.995,0.7694,0.88865,0.59721,1.14181,0.000614,0.000614,0.000614
72,232.048,1.01295,0.5737,1.10919,0.96954,1,0.99443,0.74086,0.95128,0.57168,1.17757,0.0005942,0.0005942,0.0005942
73,235.113,0.95272,0.56158,1.07877,0.99698,1,0.995,0.76958,1.01632,0.55506,1.25718,0.0005744,0.0005744,0.0005744
74,238.191,0.93636,0.54892,1.08827,0.99278,1,0.995,0.74724,0.95535,0.53058,1.19398,0.0005546,0.0005546,0.0005546
75,241.266,1.00722,0.55559,1.10713,0.99685,1,0.995,0.73965,1.11403,0.60952,1.309,0.0005348,0.0005348,0.0005348
76,244.366,0.98695,0.55778,1.1076,1,0.9944,0.995,0.77716,0.91541,0.54827,1.20429,0.000515,0.000515,0.000515
77,247.456,0.95574,0.55965,1.07501,0.986,1,0.995,0.75738,1.08754,0.59592,1.29011,0.0004952,0.0004952,0.0004952
78,250.524,0.95816,0.55845,1.07629,0.99486,0.97059,0.99338,0.76122,1.07335,0.58142,1.30753,0.0004754,0.0004754,0.0004754
79,253.614,0.89233,0.51714,1.07679,0.99496,0.97059,0.99443,0.76068,1.01414,0.57518,1.2606,0.0004556,0.0004556,0.0004556
80,256.709,0.9047,0.53256,1.06881,0.99116,0.97059,0.99389,0.76691,0.91134,0.5514,1.18554,0.0004358,0.0004358,0.0004358
81,259.788,0.8838,0.54456,1.05607,0.9958,0.97059,0.99443,0.73598,0.9504,0.53084,1.19028,0.000416,0.000416,0.000416
82,262.857,0.96984,0.55722,1.11178,0.99565,0.97059,0.99338,0.75765,0.93821,0.5476,1.1741,0.0003962,0.0003962,0.0003962
83,265.924,0.91169,0.53194,1.07913,0.96732,1,0.99443,0.73521,1.03497,0.57482,1.25389,0.0003764,0.0003764,0.0003764
84,269.014,0.93223,0.52851,1.08547,0.96796,1,0.99271,0.77845,0.93452,0.58252,1.23116,0.0003566,0.0003566,0.0003566
85,272.097,0.87577,0.50156,1.04114,0.96879,1,0.99271,0.74277,0.99991,0.51563,1.28133,0.0003368,0.0003368,0.0003368
86,275.163,0.92517,0.51104,1.06735,0.96851,1,0.99443,0.77792,0.91911,0.50584,1.19799,0.000317,0.000317,0.000317
87,278.242,0.90737,0.509,1.0428,0.98094,1,0.995,0.76375,0.98134,0.51349,1.23772,0.0002972,0.0002972,0.0002972
88,281.632,0.89978,0.5227,1.07702,0.99467,1,0.995,0.76534,0.94888,0.51641,1.18943,0.0002774,0.0002774,0.0002774
89,284.702,0.94093,0.52501,1.07658,0.99603,1,0.995,0.76392,0.97648,0.5094,1.22967,0.0002576,0.0002576,0.0002576
90,287.775,0.94751,0.53895,1.06742,0.99559,1,0.995,0.77518,0.98656,0.52868,1.28047,0.0002378,0.0002378,0.0002378
91,291.421,0.8758,0.47132,1.04305,0.99836,1,0.995,0.746,0.96138,0.51163,1.21874,0.000218,0.000218,0.000218
92,294.517,0.86755,0.44783,1.03906,0.9938,0.97059,0.99443,0.74983,0.949,0.5068,1.25145,0.0001982,0.0001982,0.0001982
93,297.573,0.84035,0.45949,1.03792,0.97133,0.9967,0.99271,0.75573,1.00406,0.51018,1.28303,0.0001784,0.0001784,0.0001784
94,300.633,0.8401,0.44716,1.02086,0.99549,0.97059,0.99443,0.73802,1.00526,0.48157,1.25546,0.0001586,0.0001586,0.0001586
95,303.693,0.84617,0.45136,1.02934,0.99579,0.97059,0.99289,0.74686,0.95759,0.47774,1.21147,0.0001388,0.0001388,0.0001388
96,306.773,0.82197,0.4414,1.02131,0.9962,0.97059,0.99338,0.75369,0.93242,0.47018,1.2078,0.000119,0.000119,0.000119
97,309.831,0.86497,0.45297,1.03025,0.99619,0.97059,0.99389,0.75076,0.94819,0.49811,1.23849,9.92e-05,9.92e-05,9.92e-05
98,312.896,0.83175,0.43856,1.02235,0.99636,0.97059,0.99443,0.74617,0.93779,0.50183,1.23221,7.94e-05,7.94e-05,7.94e-05
99,315.947,0.79078,0.42266,1.01222,1,0.99635,0.995,0.74341,0.93457,0.51831,1.21961,5.96e-05,5.96e-05,5.96e-05
100,319.019,0.81462,0.416,1.03736,1,0.99644,0.995,0.74614,0.93617,0.52685,1.23532,3.98e-05,3.98e-05,3.98e-05
